"Geography","CancerDeaths","medIncome","popEst2015","povertyPercent","MedianAge","AvgHouseholdSize","PercentMarried","PctUnemployed16_Over","BirthRate"
"Harrisonburg city, Virginia",150.5,38541,52538,28.3,23.5,2.69,28.7,6.5,2.564793362
"Craven County, North Carolina",181.1,43972,103451,16.4,430.8,2.51,52.8,11.4,6.903026781
"Spotsylvania County, Virginia",172.5,75714,130475,9.2,36.7,2.97,56,6.2,6.051314143
"Bossier Parish, Louisiana",172.6,51138,125175,14.3,34.7,2.57,49,5.7,5.823193854
"Rapides Parish, Louisiana",189,40406,132141,19.8,37.4,2.68,44.2,8.6,4.202589635
"Miami County, Indiana",183.5,41065,35862,17.1,40.1,2.6,50,9.4,5.13318535
"Clinton County, New York",182.1,51576,81251,16.6,39.4,2.32,46.3,6.9,4.275633043
"Clayton County, Georgia",165.3,42985,273955,22.9,32.4,2.97,35.8,14.1,5.066533644
"McCreary County, Kentucky",265.8,24265,17878,47,38.8,2.56,47.4,19,1.549958483
"Morgan County, Kentucky",242.8,30872,13275,30.4,40.7,2.45,51.9,9.6,6.742424242
"Clay County, Minnesota",161,55560,62324,13.3,32.4,2.51,49.6,4.3,6.780928638
"George County, Mississippi",210.5,44811,23373,17,36.4,3.02,51.3,9,3.008098727
"Willacy County, Texas",167.3,29782,21903,38.8,32.3,3.51,44.3,11.5,4.799131379
"Mountrail County, North Dakota",196.8,66807,10331,9.3,34.8,2.83,46.1,4.7,5.573419078
"Washington County, Georgia",186.4,36137,20816,30.2,40,2.64,41.3,12.2,5.967408768
"Greensville County, Virginia",174.7,36459,11885,25.1,42.9,2.17,38.4,6.4,1.886792453
"St. Clair County, Illinois",191.2,50155,264052,19.1,37.7,2.57,45.4,8.9,4.939849972
"Pike County, Missouri",192.5,44408,18348,18.9,39.5,2.47,48.4,6.5,5.282802182
"Seminole County, Florida",160.8,56443,449144,11.8,39.1,2.85,46.6,9.4,4.236255854
"Steele County, North Dakota",117.6,59408,1956,7.1,50.2,2.09,62.2,4,7.098765432
"Calcasieu Parish, Louisiana",192.2,45979,198788,18.4,36.1,2.55,47.3,8.3,6.064227035
"Knott County, Kentucky",216.8,27709,15693,33.7,40.8,2.57,49.2,14.6,6.41509434
"Duval County, Florida",189.2,46013,913010,18.2,36,2.58,43.2,10,5.094111629
"Yankton County, South Dakota",137.1,47363,22702,13.8,40.8,2.33,51.1,3.6,6.329660834
"Josephine County, Oregon",199.7,37230,84745,20.6,47.9,2.38,51.4,12.3,6.292364753
"Carbon County, Pennsylvania",191.8,49252,63960,13,45,2.48,52.7,8.6,3.33234816
"Berkeley County, South Carolina",175.8,52436,202786,13.7,35.3,2.75,49.7,9.9,5.662000797
"Lipscomb County, Texas",106.1,60810,3569,10.6,34.4,2.87,56.4,5,10.1488498
"Buena Vista County, Iowa",149.1,50719,20493,12.4,35.9,2.55,53.1,3.7,6.872775801
"Stewart County, Tennessee",230.1,41590,13259,17.5,43.2,2.57,57.4,10.1,2.998236332
"Tuscarawas County, Ohio",168.7,46128,92916,13.4,41,2.49,54.9,7,5.283776996
"Douglas County, South Dakota",166.5,49251,2977,11.6,48,2.22,66,0.4,7.246376812
"Estill County, Kentucky",258.6,30333,14375,29.8,42.7,2.49,52.2,11.8,4.634920635
"Camden County, New Jersey",182.8,61685,510923,13,38.3,2.71,44.7,10.2,5.434939238
"Calhoun County, Georgia",162.8,30760,6479,38.5,38.2,2.13,33.6,7.7,7.258753202
"Webster County, Georgia",143.1,33893,2648,22.8,41,2.56,44.6,5.8,2.646502836
"Pender County, North Carolina",169.8,45453,57611,15.4,42.1,2.67,51.7,9.8,3.014449427
"Butler County, Kentucky",202.9,35219,12938,20.6,41.2,2.44,53.6,6.1,5.23255814
"Owen County, Indiana",215.1,46001,20872,15.4,43.9,2.46,56.5,8,5.925432756
"Branch County, Michigan",170.7,46371,43664,15.2,40.6,2.58,51.4,7,6.000674233
"Jefferson County, Indiana",169.5,45964,32416,16.2,40.7,2.37,49.9,9.2,6.689494925
"Arlington County, Virginia",136.5,107143,229164,8.5,33.9,2.24,42.9,3.7,5.34181797
"Kittitas County, Washington",161.3,48127,43269,18.6,33,2.34,44.5,7.8,4.333095578
"Dillingham Census Area, Alaska",216.6,51082,4997,17.5,29.7,3.56,40.7,12.5,11.80124224
"Montgomery County, Kentucky",205.9,41139,27608,20.8,38.8,2.61,48.4,10.4,5.746046657
"Oakland County, Michigan",159.6,69378,1242304,10,40.8,2.47,52.4,7.5,5.31040591
"Guthrie County, Iowa",168.5,49507,10676,12.4,45.9,2.34,59.6,5.4,4.965920156
"Pasquotank County, North Carolina",203.9,44596,39829,18.8,37.4,2.61,47.1,10.1,5.029990529
"Gila County, Arizona",163.3,37677,53159,24.4,48.6,2.5,50.9,12.8,6.179351922
"New Hanover County, North Carolina",164,49905,220358,18,37.8,2.33,45.8,8.9,4.936553568
"Lamoille County, Vermont",173.7,49142,25235,12.6,40.5,2.39,49.1,4.3,3.897685749
"Cobb County, Georgia",151.9,66970,741334,13,36,2.64,51.2,8,4.671194475
"Adams County, Wisconsin",206,42063,20148,17.8,51.4,2.47,50.9,10.1,3.861129137
"Siskiyou County, California",192.6,38641,43554,21.1,47.8,2.26,52.1,12.7,4.740349554
"Walton County, Georgia",193.3,52082,88399,15.6,38.5,2.88,57.1,7.9,5.68799466
"Freeborn County, Minnesota",164.1,47203,30613,12.5,44.6,2.33,52.7,4.9,5.846508564
"Hennepin County, Minnesota",156.8,64490,1223149,13,36.1,2.39,47.2,6,5.881342381
"Warren County, Mississippi",192.1,40397,47485,21.7,37.9,2.58,44.8,8,3.589466089
"Tripp County, South Dakota",162.1,40545,5434,19.9,46.4,2.08,55.1,2.1,6.67996012
"Tioga County, Pennsylvania",174.7,47360,41877,16.3,43,2.47,52.2,7.4,6.635885322
"Pratt County, Kansas",177.9,54701,9691,10.3,39.1,2.39,55.5,5.6,5.278450363
"Yalobusha County, Mississippi",235.8,34494,12447,23.4,41.5,2.39,49.5,5.7,5.540488183
"Anderson County, Texas",245.2,42471,57580,20.4,38.9,2.68,44.5,4.3,7.105682422
"Webster Parish, Louisiana",205,36003,40021,22.2,40.9,2.51,44,7.6,6.027155315
"Emmet County, Michigan",168,50191,33161,11.6,44.3,2.33,57.5,8.4,5.055523086
"Clark County, Kentucky",210.6,49012,35757,16,41.7,2.49,52.6,7.9,4.293271005
"Kearny County, Kansas",209.6,53484,3956,12.2,34.8,2.81,63,1.8,5.231143552
"Forsyth County, Georgia",129.9,86413,212438,6.3,38,3.14,62.6,6.2,5.246691229
"Allamakee County, Iowa",142.4,45229,13886,12.4,45.1,2.26,61.1,6,8.380520951
"Wasatch County, Utah",114.5,65207,29161,7.1,33,3.27,59.1,4.7,3.613892365
"Jasper County, Illinois",174.1,52919,9607,11,42.9,2.53,59.2,5.5,6.095143707
"Huron County, Michigan",181.6,41678,31883,14.1,48,2.3,55.7,7.8,5.169018707
"Sumner County, Kansas",170.1,52476,23535,13.3,40.8,2.55,56.3,7,6.593633733
"Caswell County, North Carolina",188.2,42730,22941,19.9,44.9,2.55,48.4,10.9,6.018822499
"Houston County, Georgia",174,53027,150033,17.2,34.8,2.72,51.7,9.7,5.666906226
"Fluvanna County, Virginia",176.5,64258,26235,7.9,41.6,2.5,58.6,5.2,5.34985643
"Campbell County, Virginia",160.1,46663,55086,14.5,42.4,2.5,54.6,6,4.696595168
"Ogemaw County, Michigan",177,35968,20937,21.4,49,2.22,54.7,12.4,6.505717916
"Craighead County, Arkansas",191,42851,104354,22.3,33.5,2.52,48.5,7.5,5.052358022
"Philadelphia County, Pennsylvania",211.7,39037,1567442,25.8,33.7,2.59,29.3,13.9,5.282605624
"Washington County, Florida",209.1,36482,24687,20,40.9,2.66,46.6,11.5,5.908289242
"Sunflower County, Mississippi",230.1,29227,27005,34.8,34.1,2.81,29.3,20.1,6.248990796
"Chautauqua County, Kansas",194.2,39120,3402,16.4,49.1,2.21,59.8,5.1,2.613240418
"Washington County, Oklahoma",185.2,49056,52021,13.9,40.5,2.43,55,5.3,6.522329921
"Wilcox County, Alabama",221.7,24035,11059,33.7,40.2,2.86,33.2,20.8,4.996127033
"Jones County, Mississippi",178.6,37367,68215,24.4,36.6,2.71,48,7.4,8.134642356
"Benton County, Indiana",173.4,46196,8681,12.8,40.4,2.52,51.4,5.3,7.146666667
"Sullivan County, Pennsylvania",186.2,44191,6328,14.4,51.8,0.0222,52.1,8.7,4.06278855
"Newton County, Texas",200.7,39135,13986,20.2,41.6,2.88,42.7,12.1,4.995038042
"Windsor County, Vermont",160.4,51513,55737,12.1,46.8,2.25,53.4,5.1,4.807193498
"Will County, Illinois",176.4,75176,687263,8.1,36.6,3.02,54.7,7.8,5.115003933
"Sioux County, Iowa",140.7,60205,34937,7.5,33.3,2.73,60.4,1.8,5.625717566
"Clearwater County, Idaho",164.7,41304,8496,16.6,50.2,2.05,55.4,7.3,6.401766004
"Carbon County, Wyoming",151.5,58225,15559,12.3,39,2.44,53.2,4.3,5.625
"Jefferson County, Kentucky",191.1,48264,763623,16.8,37.9,0.0241,43.7,8.4,5.584172261
"Smith County, Tennessee",225.1,43659,19295,15,41.6,2.53,59.1,5.2,3.646563815
"Eddy County, North Dakota",227.6,47596,2365,10.7,48.3,2.15,51,1.9,8.208955224
"Scurry County, Texas",203.5,56444,17615,14.1,36,2.65,53.3,3.3,5.812641084
"Stanly County, North Carolina",180.6,41921,60714,16.5,41.8,0.0247,51.5,12.2,4.858604091
"Niagara County, New York",177.1,49274,212652,13.4,42.6,2.39,47.1,7.6,4.92078633
"Jackson County, Wisconsin",173,47985,20554,14,42.2,2.42,50.7,5.6,5.77755154
"Adams County, Iowa",171.3,51929,3796,12.2,46.8,2.18,64.4,3.2,8.874172185
"Montgomery County, Pennsylvania",161.8,79576,819264,7.1,41.1,2.57,53.9,6.4,4.502231194
"Yakima County, Washington",169.4,44342,248830,20.5,32.5,3.05,48.6,9,6.560611666
"Clay County, West Virginia",212.9,32961,8910,25.1,43.3,2.62,55.8,12.3,8.753056235
"Heard County, Georgia",178.8,41348,11539,19,40.1,2.65,52.2,12.1,5.545147996
"Benton County, Missouri",209.6,33236,18670,19.5,52.5,2.28,56.9,10.2,2.363989637
"Cass County, Minnesota",168.1,45179,28706,15.7,48.3,2.19,61.1,7.4,7.941812463
"Appanoose County, Iowa",176.1,40422,12529,17.5,44.7,2.28,56.2,6.6,5.4900366
"Sullivan County, Tennessee",187.2,38840,156791,18.5,44.3,2.32,53.9,8.2,4.794040316
"Washington County, Kentucky",180.2,39983,12063,19.7,41.5,2.56,52.6,6.1,5.399151562
"Marion County, Tennessee",220.2,40766,28487,20.6,43.1,2.43,53.9,6.7,2.19816273
"Highlands County, Florida",161.6,35787,99491,19.5,52.1,2.39,54,13.3,5.119076848
"Davidson County, North Carolina",177.5,43346,164622,16.9,41.5,2.52,54,11,5.03246323
"Lonoke County, Arkansas",204.9,54459,71645,12.3,35.5,2.7,58.3,5.9,7.028310079
"Marion County, South Carolina",193.6,32283,31747,30.1,39.5,2.67,39.7,13.9,8.279819647
"Greene County, Mississippi",171.2,39615,13522,23.6,36.9,2.59,43.8,12.6,6.247604446
"Jackson County, Oklahoma",209.2,41370,25574,17.2,34.1,2.48,51.9,7.6,6.363038474
"Cabarrus County, North Carolina",173.6,55250,196762,12.2,37.4,2.78,54.5,9.2,5.372694672
"Houston County, Minnesota",141.8,59900,18773,8.4,45,2.35,58.1,4.9,3.366021733
"Sequatchie County, Tennessee",227.4,44111,14811,18.7,41.9,2.56,56.2,9,3.240589198
"Riverside County, California",154.6,56877,2361026,17.1,34.5,3.24,48.4,12.9,5.475268467
"Cape May County, New Jersey",193.1,55409,94727,13,48.3,2.3,53.4,10,5.43325019
"Richmond city, Virginia",200.2,42074,220289,25,32.9,2.33,26.2,10,4.888983425
"St. Lucie County, Florida",162.4,42722,298563,17.3,43.9,2.64,49.1,12.4,5.736951023
"St. Helena Parish, Louisiana",212.5,35004,10567,24,39.2,2.59,42.3,14.4,3.087986464
"Richmond County, New York",161.7,70299,474558,14.5,39.3,2.81,51.2,6.9,4.517034138
"Jefferson County, Alabama",186.7,44852,660367,19.5,37.4,2.47,43.9,9.1,5.582491665
"Dukes County, Massachusetts",160,61259,17299,9,45.9,2.79,47.2,5.2,3.227665706
"Adams County, Pennsylvania",165.3,60179,102295,10.8,42.8,2.55,55.7,5.7,4.47016211
"Starke County, Indiana",222.9,43740,22958,15.5,41.6,2.62,52.7,11.5,7.026920032
"Mercer County, Illinois",179.9,54916,15858,9.6,44.3,0.024,60.2,6.2,4.061068702
"Lake County, Minnesota",164.5,52381,10631,10.5,50.2,2.06,62.3,4.8,7.011070111
"Wahkiakum County, Washington",153.8,51022,4042,13.9,52.1,2.31,53.5,10.6,0.535475234
"Addison County, Vermont",173.3,59089,37035,9.5,42.8,2.38,50.3,5.8,4.669664476
"Lee County, Iowa",181.3,44719,35089,17.7,42.9,2.4,49.8,8.7,6.389732266
"Franklin County, Illinois",215.7,37758,39485,19.9,42.1,2.41,50,10,4.6247512
"Cuming County, Nebraska",128.3,56047,9125,9.1,43.6,2.41,61.3,3.3,7.272727273
"Morgan County, Ohio",187.9,37923,14777,18.1,43.9,2.41,58.4,9.3,5.657937278
"DeSoto County, Mississippi",193.9,58479,173323,10.1,36,2.8,52.3,7.6,4.636235598
"Franklin County, Virginia",162,47419,56264,16.3,45,2.36,58.4,6.2,5.965766068
"Pierce County, Georgia",219.8,40526,19103,18.9,39,2.72,50.2,8.9,7.704581719
"Adams County, Illinois",167.4,46061,67013,14.2,40.6,2.44,52.6,6.8,5.866611774
"McLeod County, Minnesota",175.4,60114,35932,7.9,39.9,2.4,56,4.5,7.114267269
"Creek County, Oklahoma",210.2,46614,70892,15.8,40.6,2.67,54.5,5.7,5.479185579
"Grant Parish, Louisiana",222.7,40668,22343,22.8,37.6,2.63,46.2,9.2,3.728510828
"Sanpete County, Utah",156.7,44644,28778,17.1,30.5,0.0313,54,8.3,5.587610082
"Charlottesville city, Virginia",178.2,45890,46597,25.9,29.8,0.0239,30.1,4.3,2.753790712
"Franklin County, Arkansas",201.6,40404,17702,17.5,40.4,2.58,55.1,11,7.574180115
"Gadsden County, Florida",184.7,35849,46036,25.6,40.2,2.53,39.6,11.2,4.18136909
"York County, Pennsylvania",170.2,58471,442867,10.2,40.7,2.57,52.6,7.3,4.689714916
"Park County, Colorado",137.9,58487,16510,9.4,49.4,2.2,59.2,5.6,4.06824147
"Lincoln County, Mississippi",212.5,36118,34649,21.6,37.7,2.62,48.7,7.5,2.20341093
"DeKalb County, Missouri",123.4,42174,12687,18.6,40.1,2.48,43.9,6.8,2.755102041
"Cheyenne County, Colorado",124.5,52273,1829,13.4,37,2.63,53.7,9.3,5.299539171
"Middlesex County, Virginia",206.9,48921,10606,14.4,52.7,2.38,54.4,6.3,2.71468144
"Giles County, Tennessee",199.9,41326,28946,16.9,42.9,2.49,52.4,9.9,4.447587616
"Fayette County, Ohio",194.3,44947,28679,15.8,41.1,2.44,51.7,8.6,5.708508322
"Marathon County, Wisconsin",153.9,54400,135868,9.9,40.6,2.48,55.8,5.7,5.823165636
"Fannin County, Georgia",182.8,37813,24303,19.6,50.2,2.48,55,12,4.835115865
"Shelby County, Ohio",167.3,50774,48901,10.7,38.9,2.62,57.4,6.7,6.776406036
"Otsego County, Michigan",194.7,44693,24253,13.2,44.2,2.38,56.8,8.2,3.216430924
"Lawrence County, Ohio",201.5,41608,61109,17.5,41.2,2.6,50,8,5.379259802
"Lawrence County, South Dakota",161.8,45945,24827,13.6,41.5,2.22,52.2,3.8,3.67487328
"Linn County, Iowa",169.4,62700,219916,9.3,37.1,2.42,51.2,4.8,5.753829407
"Twin Falls County, Idaho",165.4,44236,82375,14.5,34.5,2.71,55.7,5.9,8.551754776
"Hancock County, Ohio",175.7,51498,75573,12.7,39.2,2.37,53.4,6.9,5.446216491
"Gloucester County, Virginia",200.4,58900,37143,9.7,43.6,2.57,57.9,4.7,4.308202154
"Williamsburg city, Virginia",162.1,46954,15052,20.1,24.6,2.37,26.2,8.5,2.181467181
"Linn County, Oregon",186.5,44358,120547,19.1,39.5,2.61,52.9,10.6,4.659172628
"Tucker County, West Virginia",168.1,36466,6966,17.1,47.7,2.26,60.5,7.6,3.868613139
"Pearl River County, Mississippi",208.6,38465,55191,19.3,40.7,2.61,51.9,12.1,4.728190104
"Norfolk County, Massachusetts",160.9,90039,696023,6.5,40.9,2.58,52.2,6.9,4.696647392
"McDuffie County, Georgia",219.5,37413,21540,27.6,38.2,2.61,48.4,9.5,5.374121538
"Northumberland County, Pennsylvania",177.5,40429,93246,15.9,525.6,2.27,50.4,7.2,5.713833492
"Bannock County, Idaho",151.5,44324,83744,17.4,32.7,2.67,51.6,7.2,5.416377859
"Matanuska-Susitna Borough, Alaska",184.3,73981,101095,10.7,34.6,3.03,52.3,9.8,4.854021136
"Noxubee County, Mississippi",204.2,28730,11043,31.3,36.8,2.69,39.4,19,4.965357968
"Benzie County, Michigan",179,48846,17457,11.8,48.4,2.37,53.7,8.4,4.021937843
"Todd County, South Dakota",238.8,27481,9959,47.4,23.9,3.62,28.5,25.4,13.07106599
"Burnet County, Texas",160,53203,45463,14,44.1,2.58,55.9,5.1,4.124513619
"Fayette County, Iowa",151.3,45522,20257,14.4,43.1,2.31,52.7,5.1,7.378451014
"Christian County, Missouri",146.6,51831,83279,11.3,37.8,2.69,60.3,6.4,5.849007988
"Screven County, Georgia",214.9,34012,14162,26.2,40,2.61,45.1,9.8,7.930489731
"Clare County, Michigan",203.8,34655,30553,24.5,46.4,2.28,51.6,13.2,3.935222672
"Barber County, Kansas",197.8,51676,4823,12.4,44.9,2.38,61,3.1,8.417508418
"Dallas County, Missouri",179.1,34987,16393,21.7,43,2.62,56.9,13.2,9.043326548
"Wirt County, West Virginia",185.8,38600,5880,20.3,45,2.4,52.2,8.4,5.968928863
"Cuyahoga County, Ohio",187.1,44138,1255921,19.6,40.4,2.31,40.5,10.6,4.879604208
"Buena Vista city, Virginia",240.8,38331,6618,17.2,33.8,2.26,48.1,7.3,11.88769415
"Taylor County, Kentucky",205,34633,25420,26.7,39.2,2.46,45.6,9.6,4.008328995
"Logan County, West Virginia",240.1,36437,34707,20.2,42.6,2.5,53.1,10.9,4.195713917
"Osceola County, Iowa",162,51423,6154,9.1,44.5,2.28,61.6,3.3,6.165540541
"Winnebago County, Illinois",191.5,47708,287078,16.9,39.2,0.0251,48.2,11.5,5.573940788
"Cole County, Missouri",168.6,51885,76720,13.3,38,2.44,49.3,4.9,6.328460877
"Southampton County, Virginia",181.8,46521,18109,15.3,45.4,2.53,48.3,7.2,5.455508475
"Pine County, Minnesota",161.7,42157,29069,17.5,43.7,2.42,51,7.4,4.865649964
